Chr	Start	End	rowNames	Gene
chr1	9128687	9129028	3058	GPR157
chr1	9129105	9129349	3059	GPR157
chr1	9129452	9129747	3060	GPR157
chr1	9151323	9151865	3068	MIR34A
chr1	9181119	9181837	3083	LNCTAM34A
chr1	9181913	9183463	3084	MIR34AHG
chr1	9181913	9183463	3084	LNCTAM34A
chr1	9233942	9235115	3101	H6PD
chr1	9239649	9240228	3103	H6PD
chr1	9291893	9293380	3129	SPSB1
chr1	9293456	9294093	3130	SPSB1
chr1	9294413	9294827	3131	SPSB1
chr1	9428894	9429175	3196	LINC02606
chr1	9429203	9429632	3197	LINC02606
chr1	9438052	9438252	3200	RNA5SP40
chr1	9438476	9439400	3201	RNA5SP40
chr1	9440738	9441221	3203	LINC02606
chr1	9538750	9539135	3244	SLC25A33
chr1	9539195	9539552	3245	SLC25A33
chr1	9575424	9575769	3268	AL954705.1
chr1	9588209	9589792	3273	TMEM201
chr1	9596366	9596647	3277	TMEM201
chr1	9651523	9653022	3301	PIK3CD
chr1	9654522	9654784	3305	PIK3CD-AS1
chr1	9654996	9655205	3306	PIK3CD-AS1
chr1	9662675	9663509	3310	AL691449.1
chr1	9687124	9687777	3315	PIK3CD
chr1	9687124	9687777	3315	PIK3CD-AS2
chr1	9687901	9688122	3316	PIK3CD
chr1	9687901	9688122	3316	PIK3CD-AS2
chr1	9688140	9688340	3317	PIK3CD
chr1	9688140	9688340	3317	PIK3CD-AS2
chr1	9688370	9688585	3318	PIK3CD-AS2
chr1	9715492	9715773	3331	PIK3CD
chr1	9733853	9734130	3344	CLSTN1
chr1	9752196	9752567	3350	CLSTN1
chr1	9823565	9824370	3387	CLSTN1
chr1	9824464	9825014	3388	CLSTN1
chr1	9848030	9848295	3397	AL357140.1
chr1	9877935	9878357	3412	CTNNBIP1
chr1	9892981	9893595	3422	CTNNBIP1
chr1	9893690	9894518	3423	CTNNBIP1
chr1	9900369	9900726	3424	AL357140.4
chr1	9910415	9910678	3429	CTNNBIP1
chr1	9910798	9911260	3430	CTNNBIP1
chr1	9942423	9942727	3438	NMNAT1
chr1	9942423	9942727	3438	AL357140.2
chr1	9942737	9943258	3439	NMNAT1
chr1	9942737	9943258	3439	AL357140.2
chr1	9942737	9943258	3439	LZIC
chr1	9943262	9943514	3440	NMNAT1
chr1	9943262	9943514	3440	LZIC
chr1	9943620	9944040	3441	LZIC
chr1	9961192	9961502	3446	TMEM274P
chr1	9996946	9998320	3454	RBP7
chr1	10032679	10032920	3465	UBE4B
chr1	10032962	10033511	3466	UBE4B
chr1	10057792	10058222	3475	PGAM1P11
chr1	10058302	10058952	3476	PGAM1P11
chr1	10169297	10170194	3518	UBE4B
chr1	10209776	10210630	3528	KIF1B
chr1	10210657	10211252	3529	KIF1B
chr1	10211457	10211698	3530	KIF1B
chr1	10387252	10388079	3592	AL139424.3
chr1	10398231	10398673	3595	PGD
chr1	10398787	10399045	3596	PGD
chr1	10399225	10399499	3597	PGD
chr1	10399525	10399958	3598	PGD
chr1	10415139	10415719	3601	PGD
chr1	10429878	10430568	3604	CENPS-CORT
chr1	10429878	10430568	3604	CENPS
chr1	10430618	10431370	3605	CENPS-CORT
chr1	10430618	10431370	3605	CENPS
chr1	10430618	10431370	3605	AL139424.1
chr1	10471809	10472710	3612	DFFA
chr1	10471809	10472710	3612	PEX14
chr1	10472741	10472941	3613	DFFA
chr1	10473377	10473611	3615	DFFA
chr1	10474779	10475706	3616	PEX14
chr1	10616267	10616755	3678	RN7SL614P
chr1	10616267	10616755	3678	AL139423.2
chr1	10650978	10651178	3697	CASZ1
chr1	10651461	10651816	3698	CASZ1
chr1	10651865	10652120	3699	CASZ1
chr1	10693669	10694350	3720	CASZ1
chr1	10694380	10694654	3721	CASZ1
chr1	10694676	10695010	3722	CASZ1
chr1	10695027	10695695	3723	CASZ1
chr1	10795531	10797061	3777	CASZ1
chr1	10950401	10951081	3816	C1orf127
chr1	10965012	10965452	3821	C1orf127
chr1	10976117	10976453	3827	C1orf127
chr1	11011789	11012030	3836	TARDBP
chr1	11011789	11012030	3836	AL109811.3
chr1	11012220	11012458	3837	TARDBP
chr1	11012220	11012458	3837	AL109811.3
chr1	11012513	11012748	3838	TARDBP
chr1	11012513	11012748	3838	AL109811.3
chr1	11012749	11013499	3839	TARDBP
chr1	11059518	11059918	3850	SRM
chr1	11060037	11060284	3851	SRM
chr1	11060308	11060543	3852	SRM
chr1	11060563	11060763	3853	SRM
chr1	11099159	11099746	3859	EXOSC10-AS1
chr1	11099753	11100249	3860	EXOSC10
chr1	11100260	11100547	3861	EXOSC10
chr1	11139039	11139697	3863	MTOR
chr1	11151958	11152314	3867	RNU6-537P
chr1	11262499	11262837	3893	MTOR
chr1	11272791	11273291	3894	UBIAD1
chr1	11273327	11273862	3895	UBIAD1
chr1	11273868	11274105	3896	UBIAD1
chr1	11478281	11478656	3946	DISP3
chr1	11478672	11479537	3947	DISP3
chr1	11650456	11650730	3976	FBXO2
chr1	11650733	11651025	3977	FBXO2
chr1	11653060	11653523	3978	FBXO44
chr1	11653528	11653916	3979	FBXO2
chr1	11653528	11653916	3979	FBXO44
chr1	11654062	11654616	3980	FBXO2
chr1	11654062	11654616	3980	FBXO44
chr1	11654639	11655329	3981	FBXO2
chr1	11654639	11655329	3981	FBXO44
chr1	11655361	11655561	3982	FBXO44
chr1	11663781	11663981	3983	FBXO6
chr1	11664058	11664308	3984	FBXO6
chr1	11664310	11665128	3985	FBXO6
chr1	11680301	11681319	3992	MAD2L2
chr1	11681342	11681923	3993	MAD2L2
chr1	11690562	11691018	3994	DRAXIN
chr1	11691034	11691936	3995	MAD2L2
chr1	11691034	11691936	3995	DRAXIN
chr1	11691949	11692598	3996	MAD2L2
chr1	11735616	11736229	4010	AGTRAP
chr1	11784434	11785033	4026	C1orf167
chr1	11785075	11785956	4027	C1orf167
chr1	11787099	11788084	4028	C1orf167
chr1	11796067	11796806	4033	MTHFR
chr1	11803024	11803397	4036	MTHFR
chr1	11803445	11803799	4037	MTHFR
chr1	11804793	11805399	4038	CLCN6
chr1	11804793	11805399	4038	MTHFR
chr1	11805479	11805827	4039	CLCN6
chr1	11805479	11805827	4039	MTHFR
chr1	11805836	11806180	4040	CLCN6
chr1	11805836	11806180	4040	MTHFR
chr1	11806296	11806544	4041	MTHFR
chr1	11858863	11859604	4058	NPPB
chr1	11877174	11877401	4068	SBF1P2
chr1	11907444	11907668	4078	RNU5E-1
chr1	11907444	11907668	4078	AL021155.4
chr1	11907744	11907975	4079	RNU5E-1
chr1	11907744	11907975	4079	AL021155.4
chr1	11908058	11910030	4080	RNU5E-4P
chr1	11908058	11910030	4080	RNU5E-1
chr1	11908058	11910030	4080	AL021155.4
chr1	11910654	11910854	4081	RNU5E-4P
chr1	11926378	11926662	4092	KIAA2013
chr1	11926669	11927094	4093	KIAA2013
chr1	11934013	11934469	4096	PLOD1
chr1	11934516	11934760	4097	PLOD1
chr1	11971314	11971728	4115	PLOD1
chr1	11979274	11979488	4119	MFN2
chr1	11979557	11979825	4120	MFN2
chr1	11979947	11980494	4121	AL096840.3
chr1	11979947	11980494	4121	MFN2
chr1	11980532	11980949	4122	AL096840.3
chr1	12019163	12019570	4142	MIIP
chr1	12030038	12030318	4146	MIIP
chr1	12030894	12032318	4147	MIIP
chr1	12063025	12064116	4162	TNFRSF8
chr1	12124672	12126315	4182	TNFRSF8
chr1	12166772	12168028	4212	MIR7846
chr1	12166772	12168028	4212	TNFRSF1B
chr1	12191110	12192022	4225	MIR4632
chr1	12191110	12192022	4225	TNFRSF1B
chr1	12229621	12229821	4245	VPS13D
chr1	12229884	12230942	4246	VPS13D
chr1	12341845	12342045	4287	VPS13D
chr1	12342265	12343034	4288	VPS13D
chr1	12344202	12344407	4289	VPS13D
chr1	12344436	12344969	4290	VPS13D
chr1	12399805	12400378	4323	VPS13D
chr1	12406305	12406665	4327	VPS13D
chr1	12409689	12410071	4331	VPS13D
chr1	12464056	12464330	4369	VPS13D
chr1	12464674	12465086	4370	VPS13D
chr1	12478114	12478942	4378	VPS13D
chr1	12495719	12496448	4385	VPS13D
chr1	12496454	12496744	4386	VPS13D
chr1	12496792	12497304	4387	VPS13D
chr1	12527618	12527908	4401	LINC02766
chr1	12570661	12571199	4417	RNU6ATAC18P
chr1	12578682	12579451	4425	MIR6730
chr1	12596284	12596859	4437	DHRS3
chr1	12616444	12616883	4450	DHRS3
chr1	12617086	12617286	4451	DHRS3
chr1	12617616	12617816	4452	DHRS3
chr1	12618283	12618919	4454	DHRS3
chr1	12618980	12619327	4455	DHRS3
chr1	12618980	12619327	4455	AC254633.1
chr1	12619442	12619706	4456	AC254633.1
chr1	12619891	12620139	4457	AC254633.1
chr1	12746052	12746313	4479	C1orf158
chr1	13512991	13513590	4543	AL354712.1
chr1	13513872	13514524	4545	LRRC38
chr1	13583575	13584845	4555	PDPN
chr1	13699585	13701187	4582	PRDM2
chr1	13730026	13730250	4596	PRDM2
